monthly_income,repayment_history_score,utility_bill_regularity,years_in_business,debt_to_income_ratio,group_membership,income_stability_score,repaid_on_time
78525.82,0.2181,0.7207,4,0.4097,1,0.9542,0
46693.45,0.6629,0.7112,7,0.8666,1,0.9905,0
86566.8,0.7669,0.2027,18,0.0987,1,0.8332,0
71249.96,0.1666,0.0367,2,0.5112,0,0.4439,1
13946.85,0.0439,0.3038,2,0.3072,0,0.5474,0
97684.12,0.4396,0.1571,6,0.5817,0,0.5033,0
77308.27,0.774,0.3958,12,0.5838,1,0.1557,0
79676.11,0.6508,0.9793,16,0.2165,1,0.8544,1
17170.8,0.7019,0.1811,11,0.7072,0,0.6758,0
47786.66,0.4028,0.3189,10,0.0821,0,0.6379,0
40225.81,0.2349,0.7251,18,0.7363,1,0.2203,0
93042.67,0.5318,0.5092,3,0.1908,1,0.1532,0
66167.19,0.2044,0.0439,18,0.5306,0,0.873,0
83162.35,0.7262,0.1617,6,0.3126,0,0.1794,0
47124.35,0.197,0.9352,5,0.5488,0,0.0737,0
26587.68,0.2913,0.1032,20,0.2407,1,0.6256,0
57685.55,0.5065,0.6351,13,0.5121,1,0.7043,0
11062.64,0.4867,0.7923,9,0.0074,1,0.1196,1
83624.96,0.6008,0.2654,6,0.337,1,0.2069,0
65008.12,0.4374,0.7251,9,0.7438,1,0.7888,0
77018.34,0.9195,0.1699,16,0.4167,1,0.9296,0
38679.97,0.8399,0.2848,3,0.4493,0,0.4765,0
97216.31,0.8791,0.3118,3,0.5594,0,0.792,0
89846.51,0.6295,0.9964,6,0.3908,1,0.3194,1
78946.43,0.635,0.2146,10,0.7804,0,0.7032,0
23490.68,0.6092,0.1292,17,0.363,0,0.5572,0
49338.5,0.4349,0.9257,4,0.8483,1,0.8432,0
9161.36,0.3221,0.1619,16,0.7892,1,0.7759,0
19657.5,0.592,0.8793,19,0.379,1,0.2841,1
69889.65,0.0255,0.6505,9,0.3292,0,0.1495,0
75752.4,0.0075,0.5769,20,0.609,1,0.8077,0
96913.42,0.8516,0.7513,18,0.6798,0,0.0328,0
35953.41,0.0464,0.726,16,0.1673,0,0.679,0
40193.67,0.5248,0.1105,7,0.2169,1,0.4759,0
49607.8,0.615,0.9995,6,0.1316,0,0.0753,0
22999.78,0.1982,0.9419,18,0.6846,0,0.6886,0
17342.54,0.8957,0.8966,9,0.643,0,0.4829,1
50191.97,0.1901,0.6223,0,0.1701,0,0.8601,0
26556.39,0.8845,0.5228,15,0.4832,1,0.2086,1
68632.33,0.763,0.5363,7,0.6878,0,0.0023,0
46529.43,0.2407,0.0149,19,0.8523,1,0.1305,0
84104.43,0.1507,0.4995,17,0.1607,0,0.2696,0
71525.18,0.3162,0.6238,2,0.2739,1,0.6522,1
34674.83,0.398,0.6587,18,0.3135,1,0.3626,0
84064.68,0.2458,0.3321,19,0.5625,0,0.1182,1
81452.61,0.9989,0.4713,15,0.1228,1,0.9816,1
41810.45,0.2297,0.6363,5,0.1741,1,0.1082,0
32391.17,0.8306,0.4283,14,0.7024,0,0.3551,0
69837.07,0.1591,0.9621,18,0.4878,1,0.8766,0
18276.49,0.9802,0.7054,17,0.1443,1,0.6526,1
23991.28,0.2255,0.0013,9,0.3496,1,0.3198,0
5699.42,0.4217,0.0233,14,0.121,1,0.9703,0
79757.82,0.5586,0.6903,8,0.3264,1,0.5011,1
68160.83,0.1203,0.4126,5,0.3602,1,0.0081,0
71990.71,0.8168,0.8395,14,0.1009,1,0.0062,1
79169.26,0.2747,0.173,9,0.0539,1,0.941,0
48597.0,0.5493,0.0138,4,0.7934,1,0.2812,0
59030.41,0.5496,0.3881,13,0.7989,0,0.8121,0
18280.71,0.6026,0.7361,6,0.0023,1,0.0436,1
15880.36,0.0555,0.9717,12,0.5771,0,0.1469,0
68498.28,0.1686,0.8837,7,0.0843,0,0.8568,0
49754.14,0.1612,0.4841,18,0.7291,1,0.9941,0
58697.43,0.3021,0.8128,17,0.7916,0,0.0519,0
77674.89,0.1449,0.0703,9,0.555,1,0.1676,0
65298.24,0.9219,0.5723,14,0.5518,0,0.7229,0
57590.04,0.513,0.9243,3,0.3343,1,0.5295,1
58124.68,0.6236,0.3964,20,0.2245,1,0.406,0
